task_id,domain,is_public,n_test,obj_baseline,obj_random,obj_objref,obj_tei,tei_minus_baseline,gpa_baseline,gpa_tei
agri_crop_issue,Agriculture / AgriTech,False,24,0.9583,0.9583,0.9583,0.9167,-0.0417,0.9653,0.9524
community_forum_topic,Online Community,True,30,0.7667,0.7000,0.7000,0.6667,-0.1000,0.9021,0.8425
consumer_sentiment_5,Consumer Insights,True,30,0.3667,0.3667,0.5333,0.5000,0.1333,0.7350,0.7934
cybersec_alert,Cybersecurity,False,24,0.9583,0.9583,0.9583,0.9167,-0.0417,0.9645,0.9572
edtech_question_router,EdTech,True,30,0.7333,0.8000,0.9000,0.8667,0.1333,0.7325,0.9262
edu_gsm8k,Education,True,30,1.0000,1.0000,1.0000,1.0000,0.0000,0.9967,0.9967
edu_math_word,Education,False,15,1.0000,1.0000,1.0000,1.0000,0.0000,0.9967,0.9967
energy_meter_event,Energy / Utilities,False,24,0.9167,0.9167,0.9167,0.9583,0.0417,0.9397,0.9365
fin_banking_intent,Finance / Banking,False,15,1.0000,1.0000,1.0000,1.0000,0.0000,0.9758,0.9683
gaming_support,Gaming,False,24,1.0000,1.0000,1.0000,1.0000,0.0000,0.9731,0.9668
gov_service_router,Government / Public Sector,False,24,1.0000,1.0000,1.0000,1.0000,0.0000,0.9666,0.9750
health_triage,Healthcare,False,15,0.8667,0.8667,0.8667,0.9333,0.0667,0.9520,0.9400
hospitality_review_stars,Hospitality,True,30,0.6667,0.6333,0.7333,0.6667,0.0000,0.9036,0.9153
hr_resume_fit,Human Resources,False,24,1.0000,1.0000,1.0000,1.0000,0.0000,0.9742,0.9728
insurance_claim_type,Insurance,False,24,1.0000,1.0000,1.0000,0.9583,-0.0417,0.9692,0.9467
it_email_spam,Corporate IT Security,True,30,1.0000,1.0000,1.0000,0.9667,-0.0333,0.9572,0.9505
legal_contract_clause,Legal,False,24,1.0000,1.0000,1.0000,1.0000,0.0000,0.9709,0.9709
logistics_incident,Logistics / Supply Chain,False,24,1.0000,1.0000,1.0000,1.0000,0.0000,0.9674,0.9682
manufacturing_qa,Manufacturing,False,24,1.0000,1.0000,1.0000,1.0000,0.0000,0.9656,0.9655
market_research_subjectivity,Market Research,True,30,0.6667,0.5667,0.9333,0.9667,0.3000,0.8005,0.9407
media_news_desk,Media / News,True,30,0.7000,0.7000,0.7000,0.9000,0.2000,0.7876,0.9083
news_agency_topic,News Agency,True,30,0.7667,0.7667,0.7000,0.7000,-0.0667,0.8732,0.8293
pharma_ade,Pharmacovigilance,True,30,0.9000,0.9667,0.6000,0.6000,-0.3000,0.9157,0.6704
platform_toxicity,Online Platform,True,30,0.5667,0.5667,0.5333,0.5667,0.0000,0.7371,0.6987
realestate_attribute,Real Estate / PropTech,False,24,1.0000,1.0000,1.0000,1.0000,0.0000,0.9630,0.9620
retail_counterfactual,Retail Analytics,True,30,0.7333,0.9667,0.9333,0.8667,0.1333,0.7418,0.8878
saas_ticket_priority,B2B SaaS,False,24,0.9583,0.9583,0.9583,1.0000,0.0417,0.9583,0.9704
social_emotion,Social Media / CX,True,30,0.4333,0.5667,0.4333,0.4333,0.0000,0.7904,0.7912
telecom_churn_reason,Telecom,False,24,0.9583,0.9583,0.9583,1.0000,0.0417,0.9465,0.9731
travel_intent,Travel / Hospitality,False,24,0.9583,0.9583,0.9583,0.9583,0.0000,0.9406,0.9406
trust_safety_hate,Trust & Safety,True,30,0.5333,0.7000,0.5333,0.5333,0.0000,0.7904,0.7817
