task_id,industry,metric,n_classes,n_test,obj_before,obj_after,obj_delta,gpa_before,gpa_after,gpa_delta,duration_s
agri_crop_issue,Agriculture / AgriTech,classification,6,18,0.5556,1.0000,0.4444,0.9740,0.9778,0.0037,2.7
community_forum_topic,Online Community,classification,20,20,0.7000,0.7000,0.0000,0.8754,0.8534,-0.0220,13.9
consumer_sentiment_5,Consumer Insights,classification,5,20,0.3500,0.3000,-0.0500,0.7835,0.8169,0.0334,124.1
cybersec_alert,Cybersecurity,classification,6,18,0.7222,1.0000,0.2778,0.9814,0.9775,-0.0039,145.4
edtech_question_router,EdTech,classification,4,20,0.8000,0.9500,0.1500,0.7381,0.9850,0.2469,108.2
edu_gsm8k,Education,numeric,,20,0.9000,1.0000,0.1000,0.9953,0.9938,-0.0015,139.8
edu_math_word,Education,numeric,,15,0.8667,1.0000,0.1333,0.9967,1.0000,0.0033,46.9
energy_meter_event,Energy / Utilities,classification,6,18,0.7222,1.0000,0.2778,0.9662,0.9792,0.0129,100.3
fin_banking_intent,Finance / Banking,classification,8,15,1.0000,1.0000,0.0000,0.9692,0.9983,0.0292,60.5
gaming_support,Gaming,classification,6,18,0.6111,1.0000,0.3889,0.9610,0.9944,0.0335,90.7
gov_service_router,Government / Public Sector,classification,6,18,0.9444,1.0000,0.0556,0.8574,0.9812,0.1239,102.6
health_triage,Healthcare,classification,4,15,0.7333,0.9333,0.2000,0.9178,0.9558,0.0380,74.3
hospitality_review_stars,Hospitality,classification,5,20,0.5000,0.5000,0.0000,0.8859,0.8906,0.0047,179.2
hr_resume_fit,Human Resources,classification,6,18,0.7778,1.0000,0.2222,0.9254,0.9708,0.0454,112.2
insurance_claim_type,Insurance,classification,6,18,0.8889,0.9444,0.0556,0.9257,0.9521,0.0264,98.9
it_email_spam,Corporate IT Security,classification,2,20,0.5500,0.9500,0.4000,0.8938,0.9319,0.0381,111.9
legal_contract_clause,Legal,classification,6,18,1.0000,1.0000,0.0000,0.9696,0.9778,0.0082,122.6
logistics_incident,Logistics / Supply Chain,classification,6,18,0.6111,1.0000,0.3889,0.9725,0.9701,-0.0024,112.2
manufacturing_qa,Manufacturing,classification,6,18,0.6667,1.0000,0.3333,0.9644,0.9729,0.0085,100.6
market_research_subjectivity,Market Research,classification,2,20,0.4000,0.8000,0.4000,0.7015,0.8404,0.1389,154.2
media_news_desk,Media / News,classification,5,20,0.8500,1.0000,0.1500,0.9306,0.9950,0.0644,108.2
news_agency_topic,News Agency,classification,4,20,0.7000,0.7500,0.0500,0.8700,0.8987,0.0288,108.7
pharma_ade,Pharmacovigilance,classification,2,20,0.5000,0.5000,0.0000,0.9111,0.8456,-0.0655,135.5
platform_toxicity,Online Platform,classification,2,20,0.5000,0.5000,0.0000,0.7425,0.7656,0.0231,140.9
realestate_attribute,Real Estate / PropTech,classification,6,18,0.9444,1.0000,0.0556,0.9611,0.9868,0.0257,94.9
retail_counterfactual,Retail Analytics,classification,2,20,0.5000,0.5000,0.0000,0.7952,0.8044,0.0091,121.8
saas_ticket_priority,B2B SaaS,classification,6,18,0.6667,0.9444,0.2778,0.9417,0.9479,0.0062,86.4
social_emotion,Social Media / CX,classification,6,20,0.4500,0.5000,0.0500,0.7272,0.8275,0.1003,132.9
telecom_churn_reason,Telecom,classification,6,18,0.4444,1.0000,0.5556,0.9542,0.9792,0.0250,102.5
travel_intent,Travel / Hospitality,classification,6,18,0.9444,1.0000,0.0556,0.9694,0.9792,0.0097,90.4
trust_safety_hate,Trust & Safety,classification,3,20,0.3500,0.8000,0.4500,0.7736,0.9106,0.1370,117.3
